"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Nederweert";946;"Nederweert";17019;"30-09-2020";"13-10-2020";69;405,4;1;5,9;0;0
"Nieuwegein";356;"Nieuwegein";63462;"30-09-2020";"13-10-2020";253;398,7;6;9,5;0;0
"Nieuwkoop";569;"Nieuwkoop";28811;"30-09-2020";"13-10-2020";125;433,9;1;3,5;1;3,5
"Nijkerk";267;"Nijkerk";43171;"30-09-2020";"13-10-2020";221;511,9;5;11,6;0;0
"Nijmegen";268;"Nijmegen";177659;"30-09-2020";"13-10-2020";771;434;14;7,9;3;1,7
"Nissewaard";1930;"Nissewaard";85219;"30-09-2020";"13-10-2020";541;634,8;6;7;2;2,3
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"30-09-2020";"13-10-2020";54;119,4;0;0;0;0
"Noord-Beveland";1695;"Noord-Beveland";7392;"30-09-2020";"13-10-2020";19;257;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"30-09-2020";"13-10-2020";93;297,6;2;6,4;7;22,4
"Noordoostpolder";171;"Noordoostpolder";47291;"30-09-2020";"13-10-2020";148;313;0;0;0;0
"Noordwijk";575;"Noordwijk";43508;"30-09-2020";"13-10-2020";187;429,8;1;2,3;1;2,3
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"30-09-2020";"13-10-2020";103;440,5;1;4,3;0;0
"Nunspeet";302;"Nunspeet";27851;"30-09-2020";"13-10-2020";72;258,5;2;7,2;0;0
"Oegstgeest";579;"Oegstgeest";24840;"30-09-2020";"13-10-2020";103;414,7;1;4;0;0
"Oirschot";823;"Oirschot";18714;"30-09-2020";"13-10-2020";120;641,2;4;21,4;0;0
"Oisterwijk";824;"Oisterwijk";26245;"30-09-2020";"13-10-2020";81;308,6;3;11,4;0;0
"Oldambt";1895;"Oldambt";38209;"30-09-2020";"13-10-2020";74;193,7;2;5,2;1;2,6
"Oldebroek";269;"Oldebroek";23646;"30-09-2020";"13-10-2020";36;152,2;0;0;0;0
"Oldenzaal";173;"Oldenzaal";31836;"30-09-2020";"13-10-2020";176;552,8;0;0;0;0
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"30-09-2020";"13-10-2020";53;290,4;0;0;0;0
"Ommen";175;"Ommen";18009;"30-09-2020";"13-10-2020";24;133,3;0;0;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"30-09-2020";"13-10-2020";135;455,7;1;3,4;2;6,8
"Oosterhout";826;"Oosterhout";55982;"30-09-2020";"13-10-2020";202;360,8;2;3,6;0;0
"Ooststellingwerf";85;"Ooststellingwerf";25469;"30-09-2020";"13-10-2020";55;215,9;1;3,9;1;3,9
"Oostzaan";431;"Oostzaan";9735;"30-09-2020";"13-10-2020";77;791;0;0;0;0
"Opmeer";432;"Opmeer";11836;"30-09-2020";"13-10-2020";9;76;0;0;0;0
"Opsterland";86;"Opsterland";29733;"30-09-2020";"13-10-2020";56;188,3;1;3,4;0;0
"Oss";828;"Oss";91915;"30-09-2020";"13-10-2020";474;515,7;5;5,4;1;1,1
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"30-09-2020";"13-10-2020";116;294,5;2;5,1;0;0
"Ouder-Amstel";437;"Ouder-Amstel";14026;"30-09-2020";"13-10-2020";101;720,1;1;7,1;0;0
"Oudewater";589;"Oudewater";10230;"30-09-2020";"13-10-2020";46;449,7;1;9,8;1;9,8
"Overbetuwe";1734;"Overbetuwe";47906;"30-09-2020";"13-10-2020";166;346,5;1;2,1;0;0
"Papendrecht";590;"Papendrecht";32136;"30-09-2020";"13-10-2020";134;417;0;0;0;0
"Peel en Maas";1894;"Peel en Maas";43425;"30-09-2020";"13-10-2020";181;416,8;0;0;0;0
"Pekela";765;"Pekela";12196;"30-09-2020";"13-10-2020";32;262,4;1;8,2;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"30-09-2020";"13-10-2020";297;537;1;1,8;1;1,8
"Purmerend";439;"Purmerend";81249;"30-09-2020";"13-10-2020";342;420,9;5;6,2;1;1,2
"Putten";273;"Putten";24112;"30-09-2020";"13-10-2020";66;273,7;1;4,1;1;4,1
"Raalte";177;"Raalte";37712;"30-09-2020";"13-10-2020";119;315,5;2;5,3;2;5,3
"Reimerswaal";703;"Reimerswaal";22730;"30-09-2020";"13-10-2020";64;281,6;1;4,4;0;0
"Renkum";274;"Renkum";31419;"30-09-2020";"13-10-2020";161;512,4;0;0;2;6,4
"Renswoude";339;"Renswoude";5444;"30-09-2020";"13-10-2020";18;330,6;0;0;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"30-09-2020";"13-10-2020";126;961;6;45,8;0;0
"Rheden";275;"Rheden";43761;"30-09-2020";"13-10-2020";105;239,9;0;0;0;0
"Rhenen";340;"Rhenen";20119;"30-09-2020";"13-10-2020";70;347,9;0;0;0;0
"Ridderkerk";597;"Ridderkerk";46189;"30-09-2020";"13-10-2020";318;688,5;2;4,3;1;2,2
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"30-09-2020";"13-10-2020";117;306,5;0;0;1;2,6
"Rijswijk";603;"Rijswijk";54450;"30-09-2020";"13-10-2020";296;543,6;8;14,7;2;3,7
"Roerdalen";1669;"Roerdalen";20574;"30-09-2020";"13-10-2020";31;150,7;0;0;0;0
"Roermond";957;"Roermond";58260;"30-09-2020";"13-10-2020";143;245,5;3;5,1;0;0
"Roosendaal";1674;"Roosendaal";77251;"30-09-2020";"13-10-2020";413;534,6;5;6,5;1;1,3
"Rotterdam";599;"Rotterdam";651157;"30-09-2020";"13-10-2020";5613;862;108;16,6;38;5,8
"Rozendaal";277;"Rozendaal";1704;"30-09-2020";"13-10-2020";6;352,1;0;0;0;0
