"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"02-09-2020";"15-09-2020";34;109;0;0;0;0
"Hengelo";164;"Hengelo";81140;"02-09-2020";"15-09-2020";38;46,8;1;1,2;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"02-09-2020";"15-09-2020";75;48,4;0;0;0;0
"Het Hogeland";1966;"Het Hogeland";47801;"02-09-2020";"15-09-2020";28;58,6;0;0;0;0
"Heumen";252;"Heumen";16454;"02-09-2020";"15-09-2020";9;54,7;0;0;0;0
"Heusden";797;"Heusden";44692;"02-09-2020";"15-09-2020";25;55,9;0;0;0;0
"Hillegom";534;"Hillegom";22209;"02-09-2020";"15-09-2020";20;90,1;0;0;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"02-09-2020";"15-09-2020";14;90,2;0;0;0;0
"Hilversum";402;"Hilversum";90831;"02-09-2020";"15-09-2020";93;102,4;1;1,1;0;0
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"02-09-2020";"15-09-2020";103;117,8;2;2,3;0;0
"Hof van Twente";1735;"Hof van Twente";35017;"02-09-2020";"15-09-2020";3;8,6;0;0;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"02-09-2020";"15-09-2020";10;20,6;0;0;0;0
"Hoogeveen";118;"Hoogeveen";55699;"02-09-2020";"15-09-2020";3;5,4;1;1,8;0;0
"Hoorn";405;"Hoorn";73261;"02-09-2020";"15-09-2020";46;62,8;0;0;0;0
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"02-09-2020";"15-09-2020";11;25,9;0;0;0;0
"Houten";321;"Houten";50146;"02-09-2020";"15-09-2020";35;69,8;1;2;0;0
