"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Heemskerk";396;"Heemskerk";39182;"18-03-2020";"31-03-2020";34;86,8;19;48,5;3;7,7
"Heemstede";397;"Heemstede";27234;"18-03-2020";"31-03-2020";41;150,5;9;33;10;36,7
"Heerde";246;"Heerde";18589;"18-03-2020";"31-03-2020";47;252,8;31;166,8;8;43
"Heerenveen";74;"Heerenveen";50493;"18-03-2020";"31-03-2020";12;23,8;8;15,8;1;2
"Heerhugowaard";398;"Heerhugowaard";57587;"18-03-2020";"31-03-2020";33;57,3;21;36,5;4;6,9
"Heerlen";917;"Heerlen";87086;"18-03-2020";"31-03-2020";89;102,2;57;65,5;17;19,5
"Heeze-Leende";1658;"Heeze-Leende";16152;"18-03-2020";"31-03-2020";15;92,9;4;24,8;0;0
"Heiloo";399;"Heiloo";23968;"18-03-2020";"31-03-2020";14;58,4;7;29,2;4;16,7
"Hellendoorn";163;"Hellendoorn";35916;"18-03-2020";"31-03-2020";19;52,9;3;8,4;0;0
"Hellevoetsluis";530;"Hellevoetsluis";40142;"18-03-2020";"31-03-2020";19;47,3;6;14,9;0;0
"Helmond";794;"Helmond";92423;"18-03-2020";"31-03-2020";102;110,4;40;43,3;14;15,1
"Hendrik-Ido-Ambacht";531;"Hendrik-Ido-Ambacht";31202;"18-03-2020";"31-03-2020";6;19,2;3;9,6;0;0
"Hengelo";164;"Hengelo";81140;"18-03-2020";"31-03-2020";41;50,5;8;9,9;3;3,7
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155111;"18-03-2020";"31-03-2020";150;96,7;61;39,3;25;16,1
"Het Hogeland";1966;"Het Hogeland";47801;"18-03-2020";"31-03-2020";10;20,9;4;8,4;0;0
"Heumen";252;"Heumen";16454;"18-03-2020";"31-03-2020";18;109,4;10;60,8;2;12,2
"Heusden";797;"Heusden";44692;"18-03-2020";"31-03-2020";50;111,9;29;64,9;5;11,2
"Hillegom";534;"Hillegom";22209;"18-03-2020";"31-03-2020";8;36;4;18;0;0
"Hilvarenbeek";798;"Hilvarenbeek";15518;"18-03-2020";"31-03-2020";13;83,8;6;38,7;2;12,9
"Hilversum";402;"Hilversum";90831;"18-03-2020";"31-03-2020";34;37,4;15;16,5;3;3,3
"Hoeksche Waard";1963;"Hoeksche Waard";87401;"18-03-2020";"31-03-2020";70;80,1;40;45,8;3;3,4
"Hof van Twente";1735;"Hof van Twente";35017;"18-03-2020";"31-03-2020";16;45,7;8;22,8;0;0
"Hollands Kroon";1911;"Hollands Kroon";48432;"18-03-2020";"31-03-2020";29;59,9;19;39,2;3;6,2
"Hoogeveen";118;"Hoogeveen";55699;"18-03-2020";"31-03-2020";11;19,7;7;12,6;0;0
"Hoorn";405;"Hoorn";73261;"18-03-2020";"31-03-2020";28;38,2;17;23,2;6;8,2
"Horst aan de Maas";1507;"Horst aan de Maas";42429;"18-03-2020";"31-03-2020";37;87,2;28;66;11;25,9
"Houten";321;"Houten";50146;"18-03-2020";"31-03-2020";43;85,7;15;29,9;1;2
"Huizen";406;"Huizen";41273;"18-03-2020";"31-03-2020";23;55,7;13;31,5;2;4,8
"Hulst";677;"Hulst";27556;"18-03-2020";"31-03-2020";6;21,8;4;14,5;1;3,6
"IJsselstein";353;"IJsselstein";34109;"18-03-2020";"31-03-2020";33;96,7;21;61,6;9;26,4
"Kaag en Braassem";1884;"Kaag en Braassem";27297;"18-03-2020";"31-03-2020";8;29,3;5;18,3;0;0
"Kampen";166;"Kampen";54319;"18-03-2020";"31-03-2020";77;141,8;36;66,3;7;12,9
"Kapelle";678;"Kapelle";12695;"18-03-2020";"31-03-2020";1;7,9;0;0;0;0
"Katwijk";537;"Katwijk";65753;"18-03-2020";"31-03-2020";28;42,6;12;18,3;2;3
"Kerkrade";928;"Kerkrade";45749;"18-03-2020";"31-03-2020";40;87,4;28;61,2;10;21,9
"Koggenland";1598;"Koggenland";22749;"18-03-2020";"31-03-2020";10;44;5;22;1;4,4
"Krimpen aan den IJssel";542;"Krimpen aan den IJssel";29526;"18-03-2020";"31-03-2020";18;61;4;13,5;3;10,2
"Krimpenerwaard";1931;"Krimpenerwaard";56319;"18-03-2020";"31-03-2020";49;87;28;49,7;8;14,2
"Laarbeek";1659;"Laarbeek";22523;"18-03-2020";"31-03-2020";48;213,1;21;93,2;12;53,3
"Landerd";1685;"Landerd";15730;"18-03-2020";"31-03-2020";40;254,3;17;108,1;7;44,5
"Landgraaf";882;"Landgraaf";37445;"18-03-2020";"31-03-2020";34;90,8;23;61,4;3;8
"Landsmeer";415;"Landsmeer";11491;"18-03-2020";"31-03-2020";6;52,2;3;26,1;2;17,4
"Langedijk";416;"Langedijk";28163;"18-03-2020";"31-03-2020";14;49,7;10;35,5;1;3,6
"Lansingerland";1621;"Lansingerland";62384;"18-03-2020";"31-03-2020";49;78,5;18;28,9;2;3,2
"Laren";417;"Laren";11280;"18-03-2020";"31-03-2020";12;106,4;5;44,3;1;8,9
"Leeuwarden";80;"Leeuwarden";124084;"18-03-2020";"31-03-2020";22;17,7;22;17,7;1;0,8
"Leiden";546;"Leiden";125099;"18-03-2020";"31-03-2020";35;28;15;12;6;4,8
"Leiderdorp";547;"Leiderdorp";27056;"18-03-2020";"31-03-2020";5;18,5;4;14,8;0;0
"Leidschendam-Voorburg";1916;"Leidschendam-Voorburg";76534;"18-03-2020";"31-03-2020";19;24,8;9;11,8;3;3,9
"Lelystad";995;"Lelystad";78598;"18-03-2020";"31-03-2020";28;35,6;19;24,2;3;3,8
"Leudal";1640;"Leudal";35879;"18-03-2020";"31-03-2020";48;133,8;29;80,8;11;30,7
"Leusden";327;"Leusden";30401;"18-03-2020";"31-03-2020";15;49,3;6;19,7;3;9,9
"Lingewaard";1705;"Lingewaard";46601;"18-03-2020";"31-03-2020";27;57,9;17;36,5;2;4,3
"Lisse";553;"Lisse";22955;"18-03-2020";"31-03-2020";7;30,5;3;13,1;1;4,4
"Lochem";262;"Lochem";33729;"18-03-2020";"31-03-2020";14;41,5;6;17,8;2;5,9
"Loon op Zand";809;"Loon op Zand";23408;"18-03-2020";"31-03-2020";23;98,3;14;59,8;4;17,1
"Lopik";331;"Lopik";14467;"18-03-2020";"31-03-2020";12;82,9;7;48,4;1;6,9
"Loppersum";24;"Loppersum";9537;"18-03-2020";"31-03-2020";2;21;0;0;0;0
"Losser";168;"Losser";22683;"18-03-2020";"31-03-2020";6;26,5;5;22;0;0
"Maasdriel";263;"Maasdriel";25030;"18-03-2020";"31-03-2020";14;55,9;10;40;2;8
"Maasgouw";1641;"Maasgouw";23965;"18-03-2020";"31-03-2020";22;91,8;13;54,2;2;8,3
"Maassluis";556;"Maassluis";33213;"18-03-2020";"31-03-2020";18;54,2;9;27,1;1;3
"Maastricht";935;"Maastricht";121575;"18-03-2020";"31-03-2020";175;143,9;69;56,8;12;9,9
"Medemblik";420;"Medemblik";45101;"18-03-2020";"31-03-2020";23;51;11;24,4;2;4,4
"Meerssen";938;"Meerssen";18828;"18-03-2020";"31-03-2020";20;106,2;9;47,8;2;10,6
"Meierijstad";1948;"Meierijstad";81194;"18-03-2020";"31-03-2020";214;263,6;106;130,6;56;69
"Meppel";119;"Meppel";33920;"18-03-2020";"31-03-2020";11;32,4;3;8,8;2;5,9
"Middelburg";687;"Middelburg";48822;"18-03-2020";"31-03-2020";17;34,8;8;16,4;5;10,2
"Midden-Delfland";1842;"Midden-Delfland";19341;"18-03-2020";"31-03-2020";5;25,9;3;15,5;0;0
"Midden-Drenthe";1731;"Midden-Drenthe";33185;"18-03-2020";"31-03-2020";10;30,1;6;18,1;0;0
"Midden-Groningen";1952;"Midden-Groningen";60797;"18-03-2020";"31-03-2020";6;9,9;4;6,6;0;0
"Mill en Sint Hubert";815;"Mill en Sint Hubert";10939;"18-03-2020";"31-03-2020";11;100,6;7;64;1;9,1
"Moerdijk";1709;"Moerdijk";37129;"18-03-2020";"31-03-2020";15;40,4;5;13,5;1;2,7
"Molenlanden";1978;"Molenlanden";43909;"18-03-2020";"31-03-2020";22;50,1;9;20,5;2;4,6
"Montferland";1955;"Montferland";36011;"18-03-2020";"31-03-2020";12;33,3;10;27,8;2;5,6
"Montfoort";335;"Montfoort";13917;"18-03-2020";"31-03-2020";18;129,3;10;71,9;2;14,4
"Mook en Middelaar";944;"Mook en Middelaar";7847;"18-03-2020";"31-03-2020";14;178,4;2;25,5;1;12,7
"Neder-Betuwe";1740;"Neder-Betuwe";24339;"18-03-2020";"31-03-2020";37;152;23;94,5;7;28,8
"Nederweert";946;"Nederweert";17019;"18-03-2020";"31-03-2020";25;146,9;17;99,9;2;11,8
"Nieuwegein";356;"Nieuwegein";63462;"18-03-2020";"31-03-2020";34;53,6;17;26,8;1;1,6
"Nieuwkoop";569;"Nieuwkoop";28811;"18-03-2020";"31-03-2020";14;48,6;5;17,4;1;3,5
"Nijkerk";267;"Nijkerk";43171;"18-03-2020";"31-03-2020";23;53,3;13;30,1;2;4,6
"Nijmegen";268;"Nijmegen";177659;"18-03-2020";"31-03-2020";199;112;76;42,8;20;11,3
"Nissewaard";1930;"Nissewaard";85219;"18-03-2020";"31-03-2020";42;49,3;22;25,8;5;5,9
"Noardeast-Fryslân";1970;"Noardeast-Fryslân";45228;"18-03-2020";"31-03-2020";6;13,3;3;6,6;2;4,4
"Noord-Beveland";1695;"Noord-Beveland";7392;"18-03-2020";"31-03-2020";2;27,1;0;0;0;0
"Noordenveld";1699;"Noordenveld";31253;"18-03-2020";"31-03-2020";5;16;0;0;0;0
"Noordoostpolder";171;"Noordoostpolder";47291;"18-03-2020";"31-03-2020";11;23,3;8;16,9;2;4,2
"Noordwijk";575;"Noordwijk";43508;"18-03-2020";"31-03-2020";15;34,5;8;18,4;0;0
"Nuenen, Gerwen en Nederwetten";820;"Nuenen, Gerwen en Nederwetten";23383;"18-03-2020";"31-03-2020";17;72,7;10;42,8;3;12,8
"Nunspeet";302;"Nunspeet";27851;"18-03-2020";"31-03-2020";62;222,6;33;118,5;6;21,5
"Oegstgeest";579;"Oegstgeest";24840;"18-03-2020";"31-03-2020";13;52,3;2;8,1;1;4
"Oirschot";823;"Oirschot";18714;"18-03-2020";"31-03-2020";20;106,9;8;42,7;2;10,7
"Oisterwijk";824;"Oisterwijk";26245;"18-03-2020";"31-03-2020";19;72,4;9;34,3;7;26,7
"Oldambt";1895;"Oldambt";38209;"18-03-2020";"31-03-2020";3;7,9;1;2,6;0;0
"Oldebroek";269;"Oldebroek";23646;"18-03-2020";"31-03-2020";32;135,3;18;76,1;6;25,4
"Oldenzaal";173;"Oldenzaal";31836;"18-03-2020";"31-03-2020";19;59,7;7;22;5;15,7
"Olst-Wijhe";1773;"Olst-Wijhe";18252;"18-03-2020";"31-03-2020";12;65,7;6;32,9;3;16,4
"Ommen";175;"Ommen";18009;"18-03-2020";"31-03-2020";9;50;5;27,8;0;0
"Oost Gelre";1586;"Oost Gelre";29627;"18-03-2020";"31-03-2020";16;54;4;13,5;2;6,8
"Oosterhout";826;"Oosterhout";55982;"18-03-2020";"31-03-2020";36;64,3;24;42,9;4;7,1
"Ooststellingwerf";85;"Ooststellingwerf";25469;"18-03-2020";"31-03-2020";1;3,9;2;7,9;0;0
"Oostzaan";431;"Oostzaan";9735;"18-03-2020";"31-03-2020";9;92,4;4;41,1;0;0
"Opmeer";432;"Opmeer";11836;"18-03-2020";"31-03-2020";3;25,3;1;8,4;0;0
"Opsterland";86;"Opsterland";29733;"18-03-2020";"31-03-2020";6;20,2;3;10,1;0;0
"Oss";828;"Oss";91915;"18-03-2020";"31-03-2020";187;203,4;100;108,8;35;38,1
"Oude IJsselstreek";1509;"Oude IJsselstreek";39388;"18-03-2020";"31-03-2020";13;33;5;12,7;1;2,5
"Ouder-Amstel";437;"Ouder-Amstel";14026;"18-03-2020";"31-03-2020";10;71,3;3;21,4;0;0
"Oudewater";589;"Oudewater";10230;"18-03-2020";"31-03-2020";27;263,9;18;176;5;48,9
"Overbetuwe";1734;"Overbetuwe";47906;"18-03-2020";"31-03-2020";55;114,8;32;66,8;7;14,6
"Papendrecht";590;"Papendrecht";32136;"18-03-2020";"31-03-2020";8;24,9;3;9,3;0;0
"Peel en Maas";1894;"Peel en Maas";43425;"18-03-2020";"31-03-2020";120;276,3;93;214,2;37;85,2
"Pekela";765;"Pekela";12196;"18-03-2020";"31-03-2020";3;24,6;3;24,6;0;0
"Pijnacker-Nootdorp";1926;"Pijnacker-Nootdorp";55308;"18-03-2020";"31-03-2020";19;34,4;10;18,1;2;3,6
"Purmerend";439;"Purmerend";81249;"18-03-2020";"31-03-2020";66;81,2;41;50,5;4;4,9
"Putten";273;"Putten";24112;"18-03-2020";"31-03-2020";8;33,2;4;16,6;0;0
"Raalte";177;"Raalte";37712;"18-03-2020";"31-03-2020";23;61;15;39,8;5;13,3
"Reimerswaal";703;"Reimerswaal";22730;"18-03-2020";"31-03-2020";4;17,6;1;4,4;2;8,8
"Renkum";274;"Renkum";31419;"18-03-2020";"31-03-2020";14;44,6;9;28,6;0;0
"Renswoude";339;"Renswoude";5444;"18-03-2020";"31-03-2020";1;18,4;1;18,4;0;0
"Reusel-De Mierden";1667;"Reusel-De Mierden";13112;"18-03-2020";"31-03-2020";9;68,6;4;30,5;0;0
"Rheden";275;"Rheden";43761;"18-03-2020";"31-03-2020";32;73,1;24;54,8;7;16
"Rhenen";340;"Rhenen";20119;"18-03-2020";"31-03-2020";8;39,8;3;14,9;0;0
"Ridderkerk";597;"Ridderkerk";46189;"18-03-2020";"31-03-2020";41;88,8;23;49,8;4;8,7
"Rijssen-Holten";1742;"Rijssen-Holten";38177;"18-03-2020";"31-03-2020";27;70,7;10;26,2;0;0
